experiment,user_type,policy,alpha_mix,episode,explained,modality,scope,detail,utility,oracle_utility,regret,curiosity,explanation_cost,feedback_modality,feedback_scope,feedback_detail
1,VisualLearner,NO,,20,0,1,1,1,0.0,0.95,0.95,0.0,0.0,0,0,0
1,VisualLearner,NO,,21,1,1,1,1,0.0,0.95,0.8800000000000001,0.0,2.0,1,0,1
1,VisualLearner,NO,,22,1,1,1,0,-1.0,0.95,0.0,0.0,1.0,0,0,0
1,VisualLearner,NO,,23,0,0,0,0,0.0,0.95,0.95,0.0,0.0,0,0,0
1,VisualLearner,NO,,24,1,0,0,0,0.0,0.95,0.72,0.0,1.0,1,0,0
1,VisualLearner,NO,,25,1,1,1,0,0.0,0.95,0.0,0.0,1.0,0,1,0
1,VisualLearner,NO,,26,0,1,0,1,0.0,0.95,0.95,0.0,0.0,0,0,0
1,VisualLearner,NO,,27,0,0,0,1,0.0,0.95,0.95,0.0,0.0,0,0,0
1,VisualLearner,NO,,28,1,0,0,0,0.0,0.95,0.72,0.0,1.0,0,1,0
1,VisualLearner,NO,,29,1,0,1,1,0.0,0.95,1.36,0.0,2.0,1,1,0
1,VisualLearner,NO,,30,1,1,0,0,0.0,0.95,0.24,0.0,1.0,1,0,0
1,VisualLearner,NO,,31,1,1,1,0,0.0,0.95,0.0,0.0,1.0,1,0,0
1,VisualLearner,NO,,32,1,0,1,0,1.0,0.95,0.48,0.0,1.0,0,1,1
1,VisualLearner,NO,,33,1,1,1,1,1.0,0.95,0.8800000000000001,0.0,2.0,1,1,1
1,VisualLearner,NO,,34,1,1,1,0,0.0,0.95,0.0,0.0,1.0,1,0,0
1,VisualLearner,NO,,35,0,1,1,0,0.0,0.95,0.95,0.0,0.0,0,0,0
1,VisualLearner,NO,,36,1,0,1,0,-1.0,0.95,0.48,0.0,1.0,0,0,0
1,VisualLearner,NO,,37,1,0,1,1,0.0,0.95,1.36,0.0,2.0,1,0,1
1,VisualLearner,NO,,38,1,0,1,1,0.0,0.95,1.36,0.0,2.0,0,1,1
1,VisualLearner,NO,,39,1,0,1,1,-1.0,0.95,1.36,0.0,2.0,0,1,0
1,VisualLearner,NO,,40,0,1,1,1,0.0,0.95,0.95,0.0,0.0,0,0,0
1,VisualLearner,NO,,41,0,0,1,1,0.0,0.95,0.95,0.0,0.0,0,0,0
1,VisualLearner,NO,,42,0,0,1,1,0.0,0.95,0.95,0.0,0.0,0,0,0
1,VisualLearner,NO,,43,1,1,0,1,-2.0,0.95,1.1199999999999999,0.0,2.0,0,0,0
1,VisualLearner,NO,,44,0,1,0,0,0.0,0.95,0.95,0.0,0.0,0,0,0
1,VisualLearner,NO,,45,0,0,0,0,0.0,0.95,0.95,0.0,0.0,0,0,0
1,VisualLearner,NO,,46,1,1,1,1,0.0,0.95,0.8800000000000001,0.0,2.0,0,1,1
1,VisualLearner,NO,,47,1,0,0,0,0.0,0.95,0.72,0.0,1.0,0,0,1
1,VisualLearner,NO,,48,0,0,0,0,0.0,0.95,0.95,0.0,0.0,0,0,0
1,VisualLearner,NO,,49,1,0,1,0,0.0,0.95,0.48,0.0,1.0,0,0,1
1,VisualLearner,PO,,0,1,1,1,0,2.0,0.95,0.0,0.0,1.0,1,1,1
1,VisualLearner,PO,,1,1,1,1,0,0.0,0.95,0.0,0.0,1.0,1,0,0
1,VisualLearner,PO,,2,1,1,1,0,2.0,0.95,0.0,0.0,1.0,1,1,1
